City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,10.98,70,20,2.57,GB,1697128886
1,grytviken,-54.2811,-36.5092,-1.49,93,97,2.0,GS,1697128948
2,bamboo flat,11.7,92.7167,26.05,94,40,0.0,IN,1697129078
3,olonkinbyen,70.9221,-8.7187,1.02,74,97,8.56,SJ,1697129078
4,suncho corral,-27.9336,-63.4294,23.31,20,1,4.76,AR,1697129078
5,port-aux-francais,-49.35,70.2167,1.3,83,99,9.15,TF,1697128951
6,georgetown,5.4112,100.3354,27.23,92,40,2.06,MY,1697128921
7,margaret river,-33.95,115.0667,11.14,90,1,5.55,AU,1697129079
8,west island,-12.1568,96.8225,25.99,78,100,7.72,CC,1697128948
9,adamstown,-25.066,-130.1015,20.38,74,93,4.91,PN,1697128948
10,anaconda,46.1285,-112.9423,5.55,71,100,2.06,US,1697129080
11,nieuw amsterdam,5.8833,-55.0833,36.68,54,40,4.12,SR,1697129080
12,weno,7.4515,151.8468,27.97,89,100,1.54,FM,1697129081
13,blackmans bay,-43.0167,147.3167,9.18,85,99,0.45,AU,1697128951
14,fort bragg,35.139,-79.006,19.34,95,40,2.57,US,1697128965
15,puerto natales,-51.7236,-72.4875,12.25,54,40,6.69,CL,1697129082
16,aldan,58.6031,125.3894,10.11,62,99,7.15,RU,1697129082
17,rodolfo sanchez taboada,31.7167,-116.5667,20.06,70,2,1.79,MX,1697129082
18,chicoana,-25.1009,-65.5331,17.81,43,100,2.65,AR,1697129083
19,badger,64.8,-147.5333,-3.07,87,100,0.0,US,1697128951
20,blackpool,53.8167,-3.05,13.71,68,40,2.57,GB,1697129083
21,college,64.8569,-147.8028,-3.03,83,100,0.0,US,1697129084
22,mount gambier,-37.8333,140.7667,11.81,70,99,4.78,AU,1697129084
23,ribeira grande,38.5167,-28.7,22.22,73,40,5.66,PT,1697128949
24,yaren,-0.5472,166.916,28.63,76,84,3.99,NR,1697129068
25,wailua homesteads,22.0669,-159.378,23.44,84,75,5.66,US,1697129085
26,salalah,17.0151,54.0924,28.05,78,0,1.54,OM,1697129085
27,vilyuchinsk,52.9306,158.4028,3.85,78,86,2.15,RU,1697129086
28,qaqortoq,60.7167,-46.0333,3.68,79,99,0.72,GL,1697129086
29,waitangi,-43.9535,-176.5597,8.23,79,99,0.45,NZ,1697129086
30,jamestown,42.097,-79.2353,15.57,61,40,0.89,US,1697129056
31,hotan,37.0997,79.9269,17.0,22,0,2.07,CN,1697128965
32,dudinka,69.4058,86.1778,1.49,93,99,6.71,RU,1697129087
33,guixi,28.2886,117.2133,19.1,83,87,0.36,CN,1697129088
34,sabang,5.8933,95.3214,27.74,77,39,4.56,ID,1697129088
35,hithadhoo,-0.6,73.0833,27.84,71,35,5.84,MV,1697129088
36,anadyr,64.75,177.4833,4.28,100,75,9.0,RU,1697128969
37,ilulissat,69.2167,-51.1,-3.99,54,40,5.66,GL,1697129089
38,asosa,10.0667,34.5333,16.9,90,100,1.88,ET,1697129089
39,balaipungut,1.05,101.2833,24.34,95,32,0.7,ID,1697129090
40,boyalik,41.2634,28.6314,18.51,73,1,3.47,TR,1697129090
41,selfoss,63.9331,-20.9971,5.02,71,100,6.88,IS,1697129091
42,feltre,46.0235,11.907,21.43,84,16,0.57,IT,1697129091
43,mata de sao joao,-12.5303,-38.2992,27.86,45,25,4.4,BR,1697129091
44,konarka,19.9,86.1167,28.22,78,10,2.3,IN,1697129092
45,ust-nera,64.5667,143.2,-15.42,100,92,1.85,RU,1697129092
46,yellowknife,62.456,-114.3525,6.29,100,100,2.57,CA,1697128956
47,tura,25.5198,90.2201,22.08,83,1,1.22,IN,1697129093
48,carutapera,-1.195,-46.02,31.2,56,80,5.14,BR,1697129093
49,bethel,41.3712,-73.414,20.86,54,0,3.09,US,1697129093
50,papatowai,-46.5619,169.4708,11.97,60,98,3.72,NZ,1697129093
51,uturoa,-16.7333,-151.4333,26.13,70,19,8.25,PF,1697129094
52,invercargill,-46.4,168.35,12.23,64,100,3.58,NZ,1697129094
53,bilibino,68.0546,166.4372,-6.69,91,100,2.72,RU,1697128973
54,trinidad,-14.8333,-64.9,36.99,44,20,5.14,BO,1697129095
55,la foa,-21.7108,165.8276,18.09,86,31,1.54,NC,1697129095
56,chonchi,-42.6128,-73.8092,11.56,57,89,1.65,CL,1697129095
57,iqaluit,63.7506,-68.5145,-0.15,86,75,1.54,CA,1697128966
58,callao,-12.0667,-77.15,19.16,77,75,3.6,PE,1697129096
59,kandy,7.2955,80.6356,21.63,97,100,0.75,LK,1697128865
60,cafayate,-26.073,-65.9761,17.7,45,75,6.09,AR,1697129097
61,tazovsky,67.4667,78.7,0.67,97,100,1.99,RU,1697129097
62,la mira tumbiscatio,18.6833,-102.2833,26.66,77,60,1.14,MX,1697129098
63,illizi,26.4833,8.4667,32.89,22,38,8.39,DZ,1697128982
64,jilib,0.4883,42.7854,25.52,84,84,3.31,SO,1697129098
65,lospalos,-8.5186,127.0025,21.27,93,60,1.71,TL,1697129099
66,albany,42.6001,-73.9662,18.86,58,28,0.89,US,1697128562
67,polyarnyy,69.1989,33.4478,2.55,96,100,12.1,RU,1697129099
68,puerto ayora,-0.7393,-90.3518,27.98,73,74,4.37,EC,1697129099
69,tiksi,71.6872,128.8694,-5.52,91,100,4.54,RU,1697128950
70,bakchar,57.0186,82.0711,4.71,69,100,2.16,RU,1697129100
71,mo i rana,66.3128,14.1428,5.26,87,40,2.24,NO,1697129100
72,nizao,18.25,-70.2,32.48,65,98,4.04,DO,1697129101
73,kulhudhuffushi,6.6221,73.07,27.18,76,100,1.55,MV,1697129101
74,ushuaia,-54.8,-68.3,10.79,66,20,12.86,AR,1697129101
75,atakpame,7.5333,1.1333,26.38,84,97,0.85,TG,1697129102
76,st. john's,47.5649,-52.7093,14.2,97,100,2.06,CA,1697129102
77,whitehorse,60.7161,-135.0538,2.43,80,100,8.75,CA,1697129103
78,chojnice,53.6955,17.557,11.06,76,91,3.52,PL,1697128864
79,afaahiti,-17.75,-149.2833,22.93,76,32,7.09,PF,1697128949
80,hawaiian paradise park,19.5933,-154.9731,22.24,76,100,2.57,US,1697129104
81,namibe,-15.1961,12.1522,20.05,79,17,3.76,AO,1697129104
82,lata,40.1629,-8.3327,27.25,30,45,3.14,PT,1697129105
83,vila franca do campo,37.7167,-25.4333,23.82,99,11,4.96,PT,1697129105
84,edinburgh of the seven seas,-37.0676,-12.3116,13.07,73,7,5.48,SH,1697129105
85,remire-montjoly,4.9167,-52.2667,34.02,52,0,5.66,GF,1697129106
86,moroto,2.5345,34.6666,25.31,49,78,2.33,UG,1697129106
87,lorengau,-2.0226,147.2712,26.8,83,36,1.23,PG,1697128956
88,bredasdorp,-34.5322,20.0403,14.6,86,24,5.98,ZA,1697129107
89,khark,29.2614,50.3306,30.47,65,0,1.16,IR,1697129107
90,akureyri,65.6835,-18.0878,1.96,87,100,4.63,IS,1697128977
91,lebu,-37.6167,-73.65,11.36,66,0,9.42,CL,1697129108
92,al jawf,29.5,38.75,26.32,34,0,4.38,SA,1697129108
93,geraldton,-28.7667,114.6,17.23,55,96,3.6,AU,1697129109
94,lompoc,34.6391,-120.4579,21.08,65,0,3.6,US,1697128989
95,altai,46.3722,96.2583,5.36,42,0,2.14,MN,1697129109
96,mata-utu,-13.2816,-176.1745,27.28,82,100,7.35,WF,1697129110
97,port mathurin,-19.6833,63.4167,23.5,73,10,4.21,MU,1697128975
98,howrah,22.5892,88.3103,29.0,79,20,0.0,IN,1697129110
99,portland,45.5234,-122.6762,14.99,94,75,1.54,US,1697128912
100,sao felix do xingu,-6.6447,-51.995,40.84,19,11,1.75,BR,1697129111
101,huadian,42.9633,126.7478,9.22,66,31,1.16,CN,1697129111
102,eureka,40.8021,-124.1637,11.25,91,36,0.45,US,1697129112
103,mount pearl,47.5166,-52.7813,13.74,97,100,2.06,CA,1697129112
104,nogliki,51.8333,143.1667,11.86,58,65,6.26,RU,1697129112
105,ulaangom,49.9811,92.0667,8.05,65,9,1.12,MN,1697129113
106,karatsu,33.4425,129.9697,19.39,25,65,2.68,JP,1697129113
107,longyearbyen,78.2186,15.6401,-4.09,63,75,3.09,SJ,1697129113
108,aasiaat,68.7098,-52.8699,-7.62,76,66,5.54,GL,1697129114
